Gate_voltage,Temperature,riseTime,millerTime,Vge_plateau,max_dVge,max_dIdt,fallTime,Vce_overshoot,E_on,E_off,Vge_max,HealthState
10,40,1.7e-07,2.4e-07,9.98074452339953,385664992.07907,59119633.0968661,8.10000000000001e-07,0.0108121991293615,0.0423098122759026,0.0015611491969273,10.1947768820973,Warning
10,40,1.8e-07,3.4e-07,9.95483101784352,382455907.028501,54812584.9375478,1.5e-06,0.0079684377647026,0.0419108171928087,0.00308158962971,10.1796419845578,Fault
10,50,1.9e-07,1.7e-07,9.98403511482196,389404372.801415,65185613.3140218,5.60000000000001e-07,0.0120287301421058,0.0433054833297563,0.0010157884786256,10.3210966133231,Healthy
10,50,1.8e-07,2.3e-07,9.98073692360305,385664991.564808,59125621.8913136,8.10000000000001e-07,0.0109141900040868,0.0431176374962059,0.0016014834305336,10.200989995545,Warning
10,50,1.8e-07,3.4e-07,9.95483231437345,382455897.738443,55621339.1632623,1.5e-06,0.0080306469742481,0.0427464726560845,0.0031614500858732,10.1798658440094,Fault
10,60,1.9e-07,1.6e-07,9.98408114874475,389404393.750975,66297325.750635,5.60000000000001e-07,0.0121522528716582,0.0441105089630077,0.001042420665447,10.3250264612087,Healthy
10,60,1.8e-07,2.3e-07,9.98076650436578,385664883.351372,59154607.3490848,8.10000000000001e-07,0.0110192033883436,0.0439400280389821,0.0016435169059443,10.2148460103168,Warning
10,60,1.9e-07,3.4e-07,9.95483095056143,382455914.304914,56450752.9054942,1.5e-06,0.0080965097521357,0.0436031701590875,0.0032444785784858,10.180092426101,Fault
10,70,2e-07,1.6e-07,9.98411838190224,389404346.101089,67450133.4942617,5.60000000000001e-07,0.0122852195202654,0.0449408743381657,0.0010705942421138,10.3384612112479,Healthy
10,70,1.9e-07,2.2e-07,9.98073618871794,385664883.359507,59160869.1733205,8.10000000000001e-07,0.0111331569229947,0.0447899174317681,0.0016879568737097,10.2328294435047,Warning
10,70,1.9e-07,3.4e-07,9.95483592126651,382455894.891216,58948319.8161808,1.5e-06,0.0081662383030902,0.0444904373412236,0.003332398096778,10.1810539549183,Fault
10,80,2e-07,1.6e-07,9.98396934252502,389404361.314973,68660027.1133817,5.60000000000001e-07,0.0124276082158872,0.0458087381677009,0.0011008400030258,10.3494684668805,Warning
10,80,2e-07,2.2e-07,9.98077985242619,385664992.210571,59186848.4463536,8.10000000000001e-07,0.0112552473525511,0.0456782511705465,0.0017357068490975,10.2480617607548,Warning
10,80,1.9e-07,3.2e-07,9.95484108699061,382455897.986484,58988066.1253857,1.5e-06,0.008241841556412,0.0454195881262989,0.0034267887051774,10.182991581715,Fault
10,90,2.4e-07,1.6e-07,9.98401494679412,389404344.798704,69899210.8793972,5.60000000000001e-07,0.0125765521268022,0.0466905196687306,0.0011325735932949,10.366346010517,Warning
10,90,2e-07,2.2e-07,9.98071005047942,385664883.382606,59196439.6791675,8.10000000000001e-07,0.0113830643400092,0.0465835126067544,0.0017857072837217,10.2611825108384,Warning
10,90,1.9e-07,3.1e-07,9.9548174481204,382455898.058939,59012935.0856076,1.5e-06,0.008322437026095,0.0463691703524617,0.0035257279441191,10.1857412056745,Fault
12,100,6e-07,9e-08,11.9768609357386,467281666.307402,125232419.60572,5.7e-07,0.0185274181964701,0.0611948038068373,0.0026193984747548,12.7627410323896,Warning
12,100,5.9e-07,1.2e-07,11.9727051317785,462794466.136519,98183214.1833004,8.10000000000001e-07,0.0167088105280868,0.0617632176750521,0.0038540128722752,12.7442213589681,Warning
