riseTime,millerTime,Vge_plateau,max_dVge,max_dIdt,fallTime,Vce_overshoot,Vge_max,Eon_mean,Eoff_mean,Esw_mean,Esw_max,dEsw_dIc,tOn_mean,tOff_mean,tOff_max,t_ratio,Vce_50A,Vce_100A,Vce_275A,Vce_550A,Vce_1200A,Vce_2500A,Vce_3400A,Ic_1_5V,Ic_2_5V,Ic_4V,Ic_6V,Ic_8V,Ic_10V,mean_dIdV,max_dIdV,area_IV,mean_Ic_highV,HealthState
1.90E-07,1.60E-07,9.984081149,389404393.8,66297325.75,5.60E-07,0.012152253,10.32502646,0.000389423,0.000648559,0.001037982,0.002254249,8.25E-06,2.92E-07,5.40E-07,6.80E-07,1.849315068,1.256764207,1.477725438,2.207924805,3.83277407,10,10,10,105.2801445,339.2073586,565.072023,601.6968301,611.3959458,620.8601531,61.49446175,244.3201809,4586.780109,616.383761,Healthy
1.80E-07,2.30E-07,9.980766504,385664883.4,59154607.35,8.10E-07,0.011019203,10.21484601,0.000389423,0.000648559,0.001037982,0.002254249,8.25E-06,2.92E-07,5.40E-07,6.80E-07,1.849315068,1.256764207,1.477725438,2.207924805,3.83277407,10,10,10,105.2801445,339.2073586,565.072023,601.6968301,611.3959458,620.8601531,61.49446175,244.3201809,4586.780109,616.383761,Healthy
1.90E-07,3.40E-07,9.954830951,382455914.3,56450752.91,1.50E-06,0.00809651,10.18009243,0.000389423,0.000648559,0.001037982,0.002254249,8.25E-06,2.92E-07,5.40E-07,6.80E-07,1.849315068,1.256764207,1.477725438,2.207924805,3.83277407,10,10,10,105.2801445,339.2073586,565.072023,601.6968301,611.3959458,620.8601531,61.49446175,244.3201809,4586.780109,616.383761,Healthy
2.00E-07,1.60E-07,9.984118382,389404346.1,67450133.49,5.60E-07,0.01228522,10.33846121,0.000389773,0.000647462,0.001037235,0.002254589,8.20E-06,2.92E-07,5.38E-07,6.80E-07,1.842465753,1.26732821,1.492403008,2.233380685,3.835521493,10,10,10,101.7610748,333.2927596,566.3754313,613.4641742,623.4841956,633.2645555,62.72339799,240.4819414,4642.611987,628.6383826,Healthy
1.90E-07,2.20E-07,9.980736189,385664883.4,59160869.17,8.10E-07,0.011133157,10.23282944,0.000389773,0.000647462,0.001037235,0.002254589,8.20E-06,2.92E-07,5.38E-07,6.80E-07,1.842465753,1.26732821,1.492403008,2.233380685,3.835521493,10,10,10,101.7610748,333.2927596,566.3754313,613.4641742,623.4841956,633.2645555,62.72339799,240.4819414,4642.611987,628.6383826,Healthy
1.90E-07,3.40E-07,9.954835921,382455894.9,58948319.82,1.50E-06,0.008166238,10.18105395,0.000389773,0.000647462,0.001037235,0.002254589,8.20E-06,2.92E-07,5.38E-07,6.80E-07,1.842465753,1.26732821,1.492403008,2.233380685,3.835521493,10,10,10,101.7610748,333.2927596,566.3754313,613.4641742,623.4841956,633.2645555,62.72339799,240.4819414,4642.611987,628.6383826,Healthy
2.00E-07,1.60E-07,9.983969343,389404361.3,68660027.11,5.60E-07,0.012427608,10.34946847,0.000391165,0.000651969,0.001043134,0.002277245,8.45E-06,2.92E-07,5.44E-07,6.90E-07,1.863013699,1.278014191,1.506993931,2.258981172,3.848204007,10,10,10,98.36974932,327.3262823,566.2777922,624.6508774,634.9849424,645.0749105,63.89350195,236.5788639,4692.883732,640.3020397,Warning
2.00E-07,2.20E-07,9.980779852,385664992.2,59186848.45,8.10E-07,0.011255247,10.24806176,0.000391165,0.000651969,0.001043134,0.002277245,8.45E-06,2.92E-07,5.44E-07,6.90E-07,1.863013699,1.278014191,1.506993931,2.258981172,3.848204007,10,10,10,98.36974932,327.3262823,566.2777922,624.6508774,634.9849424,645.0749105,63.89350195,236.5788639,4692.883732,640.3020397,Warning
1.90E-07,3.20E-07,9.954841087,382455898,58988066.13,1.50E-06,0.008241842,10.18299158,0.000391165,0.000651969,0.001043134,0.002277245,8.45E-06,2.92E-07,5.44E-07,6.90E-07,1.863013699,1.278014191,1.506993931,2.258981172,3.848204007,10,10,10,98.36974932,327.3262823,566.2777922,624.6508774,634.9849424,645.0749105,63.89350195,236.5788639,4692.883732,640.3020397,Warning
2.40E-07,1.60E-07,9.984014947,389404344.8,69899210.88,5.60E-07,0.012576552,10.36634601,0.000392927,0.000653983,0.001046909,0.002285603,8.61E-06,2.94E-07,5.48E-07,6.90E-07,1.863945578,1.288850157,1.521426489,2.284730659,3.867567181,10,10,10,95.10530746,321.3407306,565.0180847,635.2855406,645.9267728,656.31978,65.00760149,232.9523106,4737.906837,651.4033067,Warning
2.00E-07,2.20E-07,9.98071005,385664883.4,59196439.68,8.10E-07,0.011383064,10.26118251,0.000392927,0.000653983,0.001046909,0.002285603,8.61E-06,2.94E-07,5.48E-07,6.90E-07,1.863945578,1.288850157,1.521426489,2.284730659,3.867567181,10,10,10,95.10530746,321.3407306,565.0180847,635.2855406,645.9267728,656.31978,65.00760149,232.9523106,4737.906837,651.4033067,Warning
1.90E-07,3.10E-07,9.954817448,382455898.1,59012935.09,1.50E-06,0.008322437,10.18574121,0.000392927,0.000653983,0.001046909,0.002285603,8.61E-06,2.94E-07,5.48E-07,6.90E-07,1.863945578,1.288850157,1.521426489,2.284730659,3.867567181,10,10,10,95.10530746,321.3407306,565.0180847,635.2855406,645.9267728,656.31978,65.00760149,232.9523106,4737.906837,651.4033067,Warning
